"Date","6Mo","5Yr","10Yr","GDP","UNRATE","CPIAUCNS","SP500_Close","Fedrate"
2021-02-18,0.04,0.56,1.29,22656.793,6.2,263.014,3913.96997070312,0.07
2021-02-19,0.06,0.59,1.34,22656.793,6.2,263.014,3906.7099609375,0.07
2021-02-22,0.04,0.61,1.37,22656.793,6.2,263.014,3876.5,0.07
2021-02-23,0.05,0.59,1.37,22656.793,6.2,263.014,3881.3701171875,0.07
2021-02-24,0.05,0.62,1.38,22656.793,6.2,263.014,3925.42993164062,0.07
2021-02-25,0.06,0.81,1.54,22656.793,6.2,263.014,3829.34008789062,0.07
2021-02-26,0.05,0.75,1.44,22656.793,6.2,263.014,3811.14990234375,0.07
2021-03-01,0.07,0.71,1.45,22656.793,6.1,264.877,3901.82006835938,0.07
2021-03-02,0.06,0.67,1.42,22656.793,6.1,264.877,3870.2900390625,0.07
2021-03-03,0.07,0.73,1.47,22656.793,6.1,264.877,3819.71997070312,0.07
2021-03-04,0.07,0.77,1.54,22656.793,6.1,264.877,3768.46997070312,0.07
2021-03-05,0.07,0.79,1.56,22656.793,6.1,264.877,3841.93994140625,0.07
2021-03-08,0.06,0.86,1.59,22656.793,6.1,264.877,3821.35009765625,0.07
2021-03-09,0.07,0.83,1.55,22656.793,6.1,264.877,3875.43994140625,0.07
2021-03-10,0.06,0.8,1.53,22656.793,6.1,264.877,3898.81005859375,0.07
2021-03-11,0.05,0.78,1.54,22656.793,6.1,264.877,3939.34008789062,0.07
2021-03-12,0.06,0.85,1.64,22656.793,6.1,264.877,3943.34008789062,0.07
2021-03-15,0.06,0.84,1.62,22656.793,6.1,264.877,3968.93994140625,0.07
2021-03-16,0.06,0.83,1.62,22656.793,6.1,264.877,3962.7099609375,0.07
2021-03-17,0.05,0.8,1.63,22656.793,6.1,264.877,3974.1201171875,0.07
2021-03-18,0.03,0.86,1.71,22656.793,6.1,264.877,3915.4599609375,0.07
2021-03-19,0.03,0.9,1.74,22656.793,6.1,264.877,3913.10009765625,0.07
2021-03-22,0.05,0.87,1.69,22656.793,6.1,264.877,3940.59008789062,0.07
2021-03-23,0.04,0.83,1.63,22656.793,6.1,264.877,3910.52001953125,0.07
2021-03-24,0.04,0.83,1.62,22656.793,6.1,264.877,3889.13989257812,0.07
2021-03-25,0.04,0.82,1.63,22656.793,6.1,264.877,3909.52001953125,0.07
2021-03-26,0.04,0.85,1.67,22656.793,6.1,264.877,3974.5400390625,0.07
2021-03-29,0.04,0.89,1.73,22656.793,6.1,264.877,3971.09008789062,0.07
2021-03-30,0.04,0.9,1.73,22656.793,6.1,264.877,3958.55004882812,0.07
2021-03-31,0.05,0.92,1.74,22656.793,6.1,264.877,3972.88989257812,0.06
2021-04-01,0.04,0.9,1.69,23368.861,6.1,267.054,4019.8701171875,0.07
2021-04-02,0.04,0.97,1.72,23368.861,6.1,267.054,4019.8701171875,0.07
2021-04-05,0.04,0.94,1.73,23368.861,6.1,267.054,4077.90991210938,0.07
2021-04-06,0.04,0.88,1.67,23368.861,6.1,267.054,4073.93994140625,0.07
2021-04-07,0.04,0.87,1.68,23368.861,6.1,267.054,4079.94995117188,0.07
2021-04-08,0.04,0.85,1.64,23368.861,6.1,267.054,4097.169921875,0.07
2021-04-09,0.03,0.87,1.67,23368.861,6.1,267.054,4128.7998046875,0.07
2021-04-12,0.04,0.89,1.69,23368.861,6.1,267.054,4127.990234375,0.07
2021-04-13,0.05,0.85,1.64,23368.861,6.1,267.054,4141.58984375,0.07
2021-04-14,0.04,0.87,1.64,23368.861,6.1,267.054,4124.66015625,0.07
2021-04-15,0.04,0.81,1.56,23368.861,6.1,267.054,4170.419921875,0.07
2021-04-16,0.04,0.84,1.59,23368.861,6.1,267.054,4185.47021484375,0.07
2021-04-19,0.04,0.85,1.61,23368.861,6.1,267.054,4163.259765625,0.07
2021-04-20,0.04,0.81,1.58,23368.861,6.1,267.054,4134.93994140625,0.07
2021-04-21,0.04,0.81,1.57,23368.861,6.1,267.054,4173.419921875,0.07
2021-04-22,0.04,0.81,1.57,23368.861,6.1,267.054,4134.97998046875,0.07
2021-04-23,0.03,0.83,1.58,23368.861,6.1,267.054,4180.169921875,0.07
2021-04-26,0.04,0.85,1.58,23368.861,6.1,267.054,4187.6201171875,0.07
2021-04-27,0.04,0.88,1.63,23368.861,6.1,267.054,4186.72021484375,0.07
2021-04-28,0.04,0.86,1.63,23368.861,6.1,267.054,4183.18017578125,0.07
2021-04-29,0.04,0.86,1.65,23368.861,6.1,267.054,4211.47021484375,0.06
2021-04-30,0.03,0.86,1.65,23368.861,6.1,267.054,4181.169921875,0.05
2021-05-03,0.04,0.84,1.63,23368.861,5.8,269.195,4192.66015625,0.06
2021-05-04,0.04,0.82,1.61,23368.861,5.8,269.195,4164.66015625,0.06
2021-05-05,0.04,0.8,1.59,23368.861,5.8,269.195,4167.58984375,0.06
2021-05-06,0.04,0.81,1.58,23368.861,5.8,269.195,4201.6201171875,0.06
2021-05-07,0.04,0.77,1.6,23368.861,5.8,269.195,4232.60009765625,0.06
2021-05-10,0.04,0.8,1.63,23368.861,5.8,269.195,4188.43017578125,0.06
2021-05-11,0.04,0.8,1.64,23368.861,5.8,269.195,4152.10009765625,0.06
2021-05-12,0.04,0.87,1.69,23368.861,5.8,269.195,4063.0400390625,0.06
2021-05-13,0.03,0.84,1.66,23368.861,5.8,269.195,4112.5,0.06
2021-05-14,0.03,0.82,1.63,23368.861,5.8,269.195,4173.85009765625,0.06
2021-05-17,0.04,0.84,1.64,23368.861,5.8,269.195,4163.2900390625,0.06
2021-05-18,0.03,0.83,1.64,23368.861,5.8,269.195,4127.830078125,0.06
2021-05-19,0.03,0.87,1.68,23368.861,5.8,269.195,4115.68017578125,0.06
2021-05-20,0.03,0.83,1.63,23368.861,5.8,269.195,4159.1201171875,0.06
2021-05-21,0.02,0.84,1.63,23368.861,5.8,269.195,4155.85986328125,0.06
2021-05-24,0.03,0.82,1.61,23368.861,5.8,269.195,4197.0498046875,0.06
2021-05-25,0.04,0.79,1.56,23368.861,5.8,269.195,4188.1298828125,0.06
2021-05-26,0.04,0.8,1.58,23368.861,5.8,269.195,4195.990234375,0.06
2021-05-27,0.04,0.81,1.61,23368.861,5.8,269.195,4200.8798828125,0.06
2021-05-28,0.03,0.79,1.58,23368.861,5.8,269.195,4204.10986328125,0.05
2021-06-01,0.04,0.81,1.62,23368.861,5.9,271.696,4202.0400390625,0.06
2021-06-02,0.04,0.8,1.59,23368.861,5.9,271.696,4208.1201171875,0.06
2021-06-03,0.04,0.84,1.63,23368.861,5.9,271.696,4192.85009765625,0.06
2021-06-04,0.04,0.78,1.56,23368.861,5.9,271.696,4229.89013671875,0.06
2021-06-07,0.04,0.79,1.57,23368.861,5.9,271.696,4226.52001953125,0.06
2021-06-08,0.04,0.77,1.53,23368.861,5.9,271.696,4227.259765625,0.06
2021-06-09,0.04,0.75,1.5,23368.861,5.9,271.696,4219.5498046875,0.06
2021-06-10,0.04,0.73,1.45,23368.861,5.9,271.696,4239.18017578125,0.06
2021-06-11,0.04,0.76,1.47,23368.861,5.9,271.696,4247.43994140625,0.06
2021-06-14,0.05,0.8,1.51,23368.861,5.9,271.696,4255.14990234375,0.06
2021-06-15,0.05,0.79,1.51,23368.861,5.9,271.696,4246.58984375,0.06
2021-06-16,0.06,0.89,1.57,23368.861,5.9,271.696,4223.7001953125,0.06
2021-06-17,0.06,0.9,1.52,23368.861,5.9,271.696,4221.85986328125,0.1
2021-06-18,0.06,0.89,1.45,23368.861,5.9,271.696,4166.4501953125,0.1
2021-06-21,0.06,0.9,1.5,23368.861,5.9,271.696,4224.7900390625,0.1
2021-06-22,0.06,0.87,1.48,23368.861,5.9,271.696,4246.43994140625,0.1
2021-06-23,0.05,0.9,1.5,23368.861,5.9,271.696,4241.83984375,0.1
2021-06-24,0.05,0.9,1.49,23368.861,5.9,271.696,4266.490234375,0.1
2021-06-25,0.06,0.92,1.54,23368.861,5.9,271.696,4280.7001953125,0.1
2021-06-28,0.06,0.9,1.49,23368.861,5.9,271.696,4290.60986328125,0.1
2021-06-29,0.06,0.89,1.49,23368.861,5.9,271.696,4291.7998046875,0.1
2021-06-30,0.06,0.87,1.45,23368.861,5.9,271.696,4297.5,0.08
2021-07-01,0.05,0.89,1.48,23921.991,5.4,273.003,4319.93994140625,0.1
2021-07-02,0.05,0.86,1.44,23921.991,5.4,273.003,4352.33984375,0.1
2021-07-06,0.06,0.81,1.37,23921.991,5.4,273.003,4343.5400390625,0.1
2021-07-07,0.05,0.79,1.33,23921.991,5.4,273.003,4358.1298828125,0.1
2021-07-08,0.06,0.74,1.3,23921.991,5.4,273.003,4320.81982421875,0.1
2021-07-09,0.05,0.79,1.37,23921.991,5.4,273.003,4369.5498046875,0.1
2021-07-12,0.06,0.81,1.38,23921.991,5.4,273.003,4384.6298828125,0.1
2021-07-13,0.06,0.85,1.42,23921.991,5.4,273.003,4369.2099609375,0.1
2021-07-14,0.05,0.8,1.37,23921.991,5.4,273.003,4374.2998046875,0.1
2021-07-15,0.05,0.78,1.31,23921.991,5.4,273.003,4360.02978515625,0.1
2021-07-16,0.05,0.79,1.31,23921.991,5.4,273.003,4327.16015625,0.1
2021-07-19,0.06,0.7,1.19,23921.991,5.4,273.003,4258.490234375,0.1
2021-07-20,0.06,0.69,1.23,23921.991,5.4,273.003,4323.06005859375,0.1
2021-07-21,0.05,0.74,1.3,23921.991,5.4,273.003,4358.68994140625,0.1
2021-07-22,0.05,0.71,1.27,23921.991,5.4,273.003,4367.47998046875,0.1
2021-07-23,0.05,0.72,1.3,23921.991,5.4,273.003,4411.7900390625,0.1
2021-07-26,0.06,0.73,1.29,23921.991,5.4,273.003,4422.2998046875,0.1
2021-07-27,0.05,0.71,1.25,23921.991,5.4,273.003,4401.4599609375,0.1
